cream cheese	390.0	526.0	0.01985808	255.0	255.0	255.0
provolone cheese	314.0	562.0	0.004822579	255.0	255.0	255.0
shiitake	888.0	614.0	0.023048198	0.0	131.0	61.0
leaf	841.0	192.0	7.303331E-4	255.0	118.0	51.0
basil	563.0	246.0	0.061232474	153.0	243.0	77.0
parsley	748.0	265.0	0.106311865	153.0	243.0	77.0
pimento	778.0	206.0	0.005208429	240.0	172.0	21.0
sea algae	964.0	487.0	0.0015923567	0.0	131.0	61.0
mussel	207.0	219.0	0.007598985	124.0	169.0	255.0
chicken liver	955.0	271.0	0.0038013377	230.0	0.0	0.0
gruyere cheese	349.0	492.0	0.0019249225	255.0	255.0	255.0
oregano	809.0	180.0	0.051440183	153.0	243.0	77.0
shallot	845.0	506.0	0.033856213	0.0	131.0	61.0
orange	390.0	193.0	0.031556502	255.0	255.0	0.0
fruit	313.0	209.0	0.00778025	255.0	255.0	0.0
green tea	591.0	364.0	0.0027135755	131.0	129.0	23.0
balm	547.0	136.0	7.224563E-5	153.0	243.0	77.0
pumpkin	908.0	384.0	0.01190277	0.0	131.0	61.0
eel	608.0	630.0	0.007961784	124.0	169.0	255.0
roasted almond	571.0	313.0	1.436991E-4	209.0	187.0	199.0
coffee	617.0	423.0	0.009447397	131.0	129.0	23.0
carnation	396.0	125.0	7.224563E-5	238.0	129.0	192.0
pecan	738.0	701.0	0.012545261	209.0	187.0	199.0
artemisia	290.0	250.0	0.0025765756	255.0	118.0	51.0
lavender	443.0	135.0	0.0033658908	238.0	129.0	192.0
salmon roe	578.0	299.0	0.0019218893	124.0	169.0	255.0
cream	258.0	607.0	0.14257579	255.0	255.0	255.0
palm	408.0	671.0	0.0056900433	255.0	118.0	51.0
black tea	671.0	352.0	0.0022131274	131.0	129.0	23.0
carob	189.0	350.0	1.6857315E-4	255.0	255.0	0.0
asparagus	745.0	648.0	0.008192499	0.0	131.0	61.0
veal	766.0	438.0	0.008073791	230.0	0.0	0.0
cardamom	787.0	257.0	0.04470519	240.0	172.0	21.0
jamaican rum	416.0	453.0	3.7608124E-4	144.0	3.0	31.0
turmeric	473.0	87.0	0.10024073	240.0	172.0	21.0
mushroom	931.0	601.0	0.04096437	0.0	131.0	61.0
cayenne	660.0	197.0	0.26480642	240.0	172.0	21.0
sake	515.0	286.0	0.040525038	144.0	3.0	31.0
concord grape	352.0	290.0	2.8898253E-4	255.0	255.0	0.0
dill	590.0	232.0	0.031789854	153.0	243.0	77.0
prawn	242.0	501.0	0.0032990621	124.0	169.0	255.0
bartlett pear	374.0	313.0	5.5551896E-4	255.0	255.0	0.0
corn	468.0	643.0	0.06405561	255.0	234.0	214.0
frankfurter	768.0	411.0	0.001617018	230.0	0.0	0.0
cabernet sauvignon wine	440.0	414.0	6.795005E-4	144.0	3.0	31.0
cane molasses	240.0	317.0	0.07375645	131.0	129.0	23.0
red kidney bean	748.0	622.0	0.0021447279	0.0	131.0	61.0
pear brandy	305.0	365.0	3.4906837E-4	144.0	3.0	31.0
champagne wine	419.0	355.0	0.002516125	144.0	3.0	31.0
